code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
601368,绿城水务,水务,广西,15.54,2.94,7.36,773094.0,121285.86,384203.03,90107.85,1.22,0.381,4.06,1.94,20150612,116521.45,1.58,5.11,37.44,47.84,30.43,46317.0
300465,高伟达,软件服务,北京,234.86,2.69,4.5,216385.77,94777.68,11300.98,36542.96,0.81,0.025,2.36,3.35,20150528,25833.61,0.57,40.72,-3.75,25.32,1.35,50342.0
600635,大众公用,供气供热,上海,24.71,24.19,29.52,1994932.25,628222.56,405055.38,109635.42,0.37,0.121,2.47,1.6,19930304,150459.52,0.51,-0.76,-18.54,14.68,10.69,202454.0
603331,百达精工,专用机械,浙江,29.74,0.32,1.27,95787.5,60589.91,28118.6,31593.4,2.48,0.48,5.23,3.04,20170705,20081.02,1.58,0.0,0.0,27.2,9.8,13905.0
603178,圣龙股份,汽车配件,浙江,28.85,0.5,2.03,190358.17,82518.9,64807.68,31033.72,1.53,0.34,3.94,3.02,20170328,25220.67,1.24,23.17,34.45,20.71,5.8,20330.0
2752,昇兴股份,广告包装,福建,70.79,1.6,8.33,320149.72,147345.88,111447.86,29043.9,0.35,0.084,2.13,3.74,20150422,60787.63,0.73,-1.65,-48.34,15.75,4.73,29029.0
601857,中国石油,石油开采,北京,63.41,1619.22,1830.21,244611104.0,48040900.0,66939000.0,12879500.0,0.7,0.095,6.52,1.23,20071105,70393400.0,3.85,26.71,907.08,20.86,1.19,541318.0
300230,永利股份,塑料,上海,18.76,2.64,4.53,427692.59,242682.59,55716.98,159644.19,3.52,0.48100000000000004,5.85,2.06,20110615,57678.06,1.27,95.94,132.6,30.87,9.96,12919.0
601107,四川成渝,路桥,四川,10.1,21.63,30.58,3679561.25,888016.13,56652.48,184394.06,0.6,0.299,4.55,0.89,20090727,455715.41,1.49,15.17,-11.02,34.27,15.81,68867.0
2232,启明信息,软件服务,吉林,128.95,4.03,4.09,170445.84,128153.45,31160.56,26188.17,0.64,0.047,2.52,3.21,20080509,30214.18,0.74,49.25,4011.83,14.0,2.13,46656.0
601179,中国西电,电气设备,陕西,23.94,51.26,51.26,3423492.0,2464898.25,493890.34,1156401.88,2.26,0.127,3.73,1.09,20100128,200753.31,0.39,0.65,-13.83,29.4,7.38,154344.0
600111,北方稀土,小金属,内蒙,94.99,36.33,36.33,2202781.75,1681062.0,263439.0,15597.85,0.04,0.096,2.42,5.02,19970924,361974.94,1.0,98.97,916.71,20.88,4.92,350135.0
603776,永安行,公共交通,江苏,44.28,0.24,0.96,205406.72,134980.34,11376.96,74234.21,7.73,1.02,12.54,3.89,20170817,33828.28,3.52,0.0,0.0,25.07,10.55,16701.0
600330,天通股份,元器件,浙江,33.68,8.2,8.3,506977.69,209157.61,151540.22,262324.63,3.16,0.18100000000000002,4.52,1.8,20010118,22294.57,0.27,28.01,38.49,23.79,9.6,75781.0
715,中兴商业,百货,辽宁,32.54,2.79,2.79,218696.66,97583.53,79052.21,31671.8,1.14,0.188,4.47,1.82,19970508,51659.15,1.85,0.67,67.51,19.97,2.88,17210.0
2486,嘉麟杰,服饰,上海,0.0,8.07,8.32,178970.52,56751.48,78258.36,201.46,0.0,-0.044000000000000004,1.07,3.8,20101015,1676.43,0.02,14.46,13.93,18.14,-5.81,103800.0
