,date,title,url
0,2017-02-13,金银河：2014年第三次临时股东大会决议等,finalpage/2017-02-13/1203078614.PDF
1,2017-02-13,金银河：控股股东、实际控制人对招股说明书的确认意见,finalpage/2017-02-13/1203078615.PDF
2,2017-02-13,金银河：关于公司设立以来股本演变情况的说明及其董事、监事、高级管理人员的确认意见,finalpage/2017-02-13/1203078616.PDF
3,2017-02-13,金银河：第一届董事会第十一次会议决议等,finalpage/2017-02-13/1203078617.PDF
4,2017-02-13,金银河：首次公开发行股票并在创业板上市招股说明书,finalpage/2017-02-13/1203078618.PDF
5,2017-02-13,金银河：首次公开发行股票并在创业板上市提示公告,finalpage/2017-02-13/1203078619.PDF
6,2017-02-13,金银河：首次公开发行股票并在创业板上市网上路演公告,finalpage/2017-02-13/1203078620.PDF
7,2017-02-13,金银河：公司章程（草案）,finalpage/2017-02-13/1203078621.PDF
8,2017-02-13,金银河：内控鉴证专项报告,finalpage/2017-02-13/1203078622.PDF
9,2017-02-13,金银河：北京德恒律师事务所关于公司首次公开发行股票并在创业板上市之律师工作报告,finalpage/2017-02-13/1203078623.PDF
10,2017-02-13,金银河：北京德恒律师事务所关于公司首次公开发行股票并在创业板上市之法律意见,finalpage/2017-02-13/1203078624.PDF
11,2017-02-13,金银河：北京德恒律师事务所关于公司首次公开发行股票并在创业板上市之补充法律意见（一）,finalpage/2017-02-13/1203078625.PDF
12,2017-02-13,金银河：北京德恒律师事务所关于公司首次公开发行股票并在创业板上市之补充法律意见（七）,finalpage/2017-02-13/1203078626.PDF
13,2017-02-13,金银河：北京德恒律师事务所关于公司首次公开发行股票并在创业板上市之补充法律意见（三）,finalpage/2017-02-13/1203078627.PDF
14,2017-02-13,金银河：北京德恒律师事务所关于公司首次公开发行股票并在创业板上市之补充法律意见（九）,finalpage/2017-02-13/1203078628.PDF
15,2017-02-13,金银河：北京德恒律师事务所关于公司首次公开发行股票并在创业板上市之补充法律意见（二）,finalpage/2017-02-13/1203078629.PDF
16,2017-02-13,金银河：北京德恒律师事务所关于公司首次公开发行股票并在创业板上市之补充法律意见（五）,finalpage/2017-02-13/1203078630.PDF
17,2017-02-13,金银河：北京德恒律师事务所关于公司首次公开发行股票并在创业板上市之补充法律意见（八）,finalpage/2017-02-13/1203078631.PDF
18,2017-02-13,金银河：北京德恒律师事务所关于公司首次公开发行股票并在创业板上市之补充法律意见（六）,finalpage/2017-02-13/1203078632.PDF
19,2017-02-13,金银河：北京德恒律师事务所关于公司首次公开发行股票并在创业板上市之补充法律意见（十一）,finalpage/2017-02-13/1203078633.PDF
20,2017-02-13,金银河：北京德恒律师事务所关于公司首次公开发行股票并在创业板上市之补充法律意见（十三）,finalpage/2017-02-13/1203078634.PDF
21,2017-02-13,金银河：北京德恒律师事务所关于公司首次公开发行股票并在创业板上市之补充法律意见（十二）,finalpage/2017-02-13/1203078635.PDF
22,2017-02-13,金银河：北京德恒律师事务所关于公司首次公开发行股票并在创业板上市之补充法律意见（十四）,finalpage/2017-02-13/1203078636.PDF
23,2017-02-13,金银河：北京德恒律师事务所关于公司首次公开发行股票并在创业板上市之补充法律意见（十）,finalpage/2017-02-13/1203078637.PDF
24,2017-02-13,金银河：北京德恒律师事务所关于公司首次公开发行股票并在创业板上市之补充法律意见（四）,finalpage/2017-02-13/1203078638.PDF
