,date,title,url
0,2000-04-27,万里电池年报,/disclosure/listedinfo/announcement/c/600847_1999_0.pdf
1,2000-08-10,万里电池半年报,/disclosure/listedinfo/announcement/c/600847_2000_1.pdf
2,2001-04-03,万里电池年报,/disclosure/listedinfo/announcement/c/600847_2000_0.pdf
3,2001-06-15,万里电池上市公司章程,/disclosure/listedinfo/announcement/c/600847_2001_g.pdf
4,2001-08-10,万里电池半年报,/disclosure/listedinfo/announcement/c/600847_2001_1.pdf
5,2001-10-31,万里电池第三季度季报,/disclosure/listedinfo/announcement/c/600847_2001_3.pdf
6,2002-04-10,万里电池年报,/disclosure/listedinfo/announcement/c/600847_2001_n.pdf
7,2002-04-26,万里电池第一季度季报,/disclosure/listedinfo/announcement/c/600847_2002_1.pdf
8,2002-08-13,万里电池半年报,/disclosure/listedinfo/announcement/c/2002-08-13/600847_2002_z.pdf
9,2002-10-26,万里电池信息披露管理制度,/disclosure/listedinfo/announcement/c/2002-10-26/600847_20021026_4.pdf
10,2002-10-26,万里电池股东大会议事规则,/disclosure/listedinfo/announcement/c/2002-10-26/600847_20021026_2.pdf
11,2002-10-26,万里电池公司治理纲要,/disclosure/listedinfo/announcement/c/2002-10-26/600847_20021026_1.pdf
12,2002-10-26,万里电池董事会议事规则,/disclosure/listedinfo/announcement/c/2002-10-26/600847_20021026_3.pdf
13,2002-10-28,万里电池第三季度季报,/disclosure/listedinfo/announcement/c/2002-10-28/600847_2002_3.pdf
14,2003-05-16,万里电池年报,/disclosure/listedinfo/announcement/c/2003-05-16/600847_2002_n.pdf
15,2003-05-16,万里电池第一季度季报,/disclosure/listedinfo/announcement/c/2003-05-16/600847_2003_1.pdf
16,2003-08-21,ST渝万里半年报,/disclosure/listedinfo/announcement/c/2003-08-21/600847_2003_z.pdf
17,2003-09-13,ST渝万里股东大会决议公告,/disclosure/listedinfo/announcement/c/2003-09-13/600847_20030913_1.pdf
18,2003-10-24,ST渝万里第三季度季报,/disclosure/listedinfo/announcement/c/2003-10-24/600847_2003_3.pdf
19,2003-12-23,ST渝万里股票交易异常波动公告,/disclosure/listedinfo/announcement/c/2003-12-23/600847_20031223_1.pdf
20,2004-01-16,ST渝万里股票价格波动公告,/disclosure/listedinfo/announcement/c/2004-01-16/600847_20040116_1.pdf
21,2004-03-17,ST渝万里关于《整改报告》落实情况的公告,/disclosure/listedinfo/announcement/c/2004-03-17/600847_20040317_1.pdf
22,2004-04-14,ST渝万里重大诉讼事项公告,/disclosure/listedinfo/announcement/c/2004-04-14/600847_20040414_1.pdf
23,2004-04-21,ST渝万里年报,/disclosure/listedinfo/announcement/c/2004-04-21/600847_2003_n.pdf
24,2004-04-21,ST渝万里监事会决议公告,/disclosure/listedinfo/announcement/c/2004-04-21/600847_20040421_2.pdf
25,2004-04-21,ST渝万里对公司股票实行退市风险警示的特别处理公告,/disclosure/listedinfo/announcement/c/2004-04-21/600847_20040421_3.pdf
26,2004-04-21,ST渝万里董事会决议公告,/disclosure/listedinfo/announcement/c/2004-04-21/600847_20040421_1.pdf
27,2004-04-21,ST渝万里第一季度季报,/disclosure/listedinfo/announcement/c/2004-04-21/600847_2004_1.pdf
28,2004-05-18,*ST万里董事会决议公告暨召开2003年度股东大会通知,/disclosure/listedinfo/announcement/c/2004-05-18/600847_20040518_1.pdf
29,2004-06-11,*ST万里划款纠纷案进展情况公告,/disclosure/listedinfo/announcement/c/2004-06-11/600847_20040611_2.pdf
30,2004-06-11,*ST万里被中国证监会行政处罚的公告,/disclosure/listedinfo/announcement/c/2004-06-11/600847_20040611_1.pdf
31,2004-06-19,*ST万里2003年度股东大会决议公告,/disclosure/listedinfo/announcement/c/2004-06-19/600847_20040619_1.pdf
32,2004-07-23,*ST万里关于股票交易价格异常波动的公告,/disclosure/listedinfo/announcement/c/2004-07-23/600847_20040723_1.pdf
33,2004-08-17,*ST万里半年报摘要,/disclosure/listedinfo/announcement/c/2004-08-17/600847_2004_zzy.pdf
34,2004-08-17,*ST万里半年报,/disclosure/listedinfo/announcement/c/2004-08-17/600847_2004_z.pdf
35,2004-08-26,*ST万里2004年半年度报告摘要补充公告,/disclosure/listedinfo/announcement/c/2004-08-26/600847_20040826_1.pdf
