,date,title,url
0,2001-06-30,天津泰达股份有限公司二〇〇一年中期报告,finalpage/2001-06-30/514900.html
1,2002-01-08,泰达股份：公司迁址公告,finalpage/2002-01-08/534410.html
2,2002-03-17,泰达股份：变更部分募集资金用途的公告,finalpage/2002-03-17/552906.html
3,2002-03-27,泰达股份：2001年度利润分配预案等,finalpage/2002-03-27/559205.html
4,2002-03-27,泰达股份2001年年度报告,finalpage/2002-03-27/559262.PDF
5,2002-03-27,泰达股份2001年年度报告摘要,finalpage/2002-03-27/559806.html
6,2002-04-08,泰达股份：董事会决议公告,finalpage/2002-04-08/565149.PDF
7,2002-04-15,泰达股份：关联交易公告,finalpage/2002-04-15/569838.PDF
8,2002-04-26,泰达股份：通过2002年第一季度报告,finalpage/2002-04-26/580189.html
9,2002-04-26,泰达股份2002年第一季度报告,finalpage/2002-04-26/580238.PDF
10,2002-04-29,泰达股份：变更部分募集资金用途的预案等,finalpage/2002-04-29/586969.html
11,2002-06-20,泰达股份：2001年度分红派息实施公告,finalpage/2002-06-20/609153.html
12,2002-06-21,泰达股份：收回全部委托理财本金及如期收益的公告,finalpage/2002-06-21/609495.PDF
13,2002-08-12,泰达股份：公布2002年中期财务指标等,finalpage/2002-08-12/629454.html
14,2002-08-12,泰达股份2002年中期报告,finalpage/2002-08-12/631941.PDF
15,2002-08-12,泰达股份：2002年中期报告摘要,finalpage/2002-08-12/630327.html
16,2002-08-28,泰达股份：增资天津泰达环保有限公司,finalpage/2002-08-28/645706.html
17,2002-09-04,泰达股份：受让股权,finalpage/2002-09-04/648831.PDF
18,2002-09-25,泰达股份：召开股东大会的通知等,finalpage/2002-09-25/654031.PDF
19,2002-10-29,泰达股份：修改公司章程等,finalpage/2002-10-29/10049693.html
20,2002-10-30,泰达股份：董事会通过2002年第三季度报告,finalpage/2002-10-30/10053501.html
21,2002-10-30,泰达股份2002年第三季度报告,finalpage/2002-10-30/10053126.PDF
22,2002-10-30,泰达股份：2002年第三季度报告摘要,finalpage/2002-10-30/10062681.html
23,2003-01-28,泰达股份：第四届董事会第九次会议决议公告,finalpage/2003-01-28/10120606.html
24,2003-03-12,泰达股份：独立董事提名人声明,finalpage/2003-03-12/10224959.html
25,2003-03-12,泰达股份：独立董事声明书,finalpage/2003-03-12/10224955.html
26,2003-03-12,泰达股份：第四届监事会第六次会议决议公告,finalpage/2003-03-12/10224951.html
27,2003-03-12,泰达股份：召开2002年度股东大会的通知,finalpage/2003-03-12/10224949.html
