date,title,url
2001-09-03,广西河池化工股份有限公司2001年中期报告,finalpage/2001-09-03/515665.html
2001-10-08,河池化工：增发新股方案的发行价格询价下限作了修改,finalpage/2001-10-08/505227.html
2001-10-12,河池化工：董事会决议公告,finalpage/2001-10-12/506652.html
2001-10-22,广西河池化工股份有限公司董事会决议公告,finalpage/2001-10-22/510563.PDF
2001-11-05,河池化工：同意向光大银行南宁桃源支行进行短期贷款,finalpage/2001-11-05/513996.html
2001-11-28,河池化工：关联交易公告,finalpage/2001-11-28/522537.html
2002-02-08,河池化工：董事会决议公告,finalpage/2002-02-08/543271.html
2002-03-25,河池化工：享受企业所得税优惠税率,finalpage/2002-03-25/556986.html
2002-04-02,河池化工：2001年度利润分配方案等,finalpage/2002-04-02/562599.PDF
2002-04-02,河池化工2001年年度报告摘要,finalpage/2002-04-02/562937.html
2002-04-02,河池化工2001年年度报告,finalpage/2002-04-02/562606.PDF
2002-04-25,河池化工：收购南开戈德集团所持的部分股权等,finalpage/2002-04-25/579291.PDF
2002-04-25,河池化工2002年第一季度报告,finalpage/2002-04-25/579270.PDF
2002-04-29,河池化工：关于授信额度的公告,finalpage/2002-04-29/586926.html
2002-05-14,河池化工：2001年度利润分配方案等,finalpage/2002-05-14/597822.html
2002-05-16,河池化工：2001年度分红派息、送股实施公告,finalpage/2002-05-16/598479.html
2002-05-30,河池化工：将天津南开生物化工有限公司90%股权转让等,finalpage/2002-05-30/604415.html
2002-06-27,河池化工：控股股东解除股权转让协议,finalpage/2002-06-27/611108.html
2002-07-30,河池化工：2002年半年度主要财务指标,finalpage/2002-07-30/621334.html
2002-07-30,河池化工：2002年中期报告摘要,finalpage/2002-07-30/630096.html
2002-07-30,河池化工2002年中期报告,finalpage/2002-07-30/621600.PDF
2002-08-29,河池化工：内部职工股上市,finalpage/2002-08-29/646290.html
2002-09-10,河池化工：关联交易等,finalpage/2002-09-10/650316.PDF
2002-10-12,河池化工：资产出售,finalpage/2002-10-12/10010466.html
2002-10-25,河池化工：董事会通过2002年第三季度报告等,finalpage/2002-10-25/10035852.html
2002-10-25,河池化工2002年第三季度报告,finalpage/2002-10-25/10035803.PDF
2002-10-25,河池化工：2002年第三季度报告摘要,finalpage/2002-10-25/10041024.html
2002-11-08,河池化工：股权托管,finalpage/2002-11-08/10066773.html
2002-11-13,河池化工：董监事会成员及高管变更,finalpage/2002-11-13/10070008.PDF
2002-12-14,河池化工：延期刊登股东大会决议,finalpage/2002-12-14/10087603.html
2002-12-17,河池化工：修改公司章程,finalpage/2002-12-17/10088313.html
2003-01-11,河池化工：出售资产及购买产品进展,finalpage/2003-01-11/10102252.html
2003-02-25,河池化工：关于诉讼事项的公告,finalpage/2003-02-25/10162559.html
2003-02-27,河池化工：更正公告,finalpage/2003-02-27/10172227.html
2003-04-11,河池化工：出售资产及购买产品延期交易的公告,finalpage/2003-04-11/10481667.html
2003-04-16,河池化工：独立董事候选人声明,finalpage/2003-04-16/10533736.html
2003-04-16,河池化工：2002年度财务报告之审计报告,finalpage/2003-04-16/10531962.PDF
2003-04-16,河池化工：独立董事提名人声明,finalpage/2003-04-16/10533729.html
2003-04-16,河池化工：董事会决议暨召开2002年度股东大会的通知,finalpage/2003-04-16/10531931.PDF
2003-04-16,河池化工：监事会审议通过2002年年度报告,finalpage/2003-04-16/10531928.html
2003-04-16,河池化工2002年年度报告,finalpage/2003-04-16/10530246.PDF
2003-04-16,河池化工2002年年度报告摘要,finalpage/2003-04-16/10531949.PDF
2003-04-30,河池化工：董事会审议通过2003年第一季度报告等,finalpage/2003-04-30/10686909.html
2003-04-30,河池化工2003年第一季度报告,finalpage/2003-04-30/10686911.PDF
2003-05-20,河池化工：2002年年度股东大会决议公告,finalpage/2003-05-20/10707203.html
2003-05-20,河池化工：董事会决议暨召开2003年第一次临时股东大会的通知,finalpage/2003-05-20/10707207.html
2003-06-21,河池化工：2003年第一次临时股东大会决议公告,finalpage/2003-06-21/10742592.PDF
2003-06-28,河池化工：关联交易及债务重组的独立财务顾问报告,finalpage/2003-06-28/10747869.PDF
2003-06-28,河池化工：关联交易及债务重组公告,finalpage/2003-06-28/10747867.PDF
2003-07-05,河池化工：2003年中期业绩预警公告,finalpage/2003-07-05/10752988.html
2003-08-09,河池化工：2003年半年度财务报告,finalpage/2003-08-09/11239638.PDF
2003-08-09,河池化工：董事会决议公告及召开临时股东大会的通知,finalpage/2003-08-09/11239611.PDF
2003-08-09,河池化工：监事会决议公告,finalpage/2003-08-09/11239604.html
2003-08-09,河池化工：关于修改公司章程的议案,finalpage/2003-08-09/11224810.html
2003-08-09,河池化工2003年半年度报告,finalpage/2003-08-09/11239648.PDF
2003-08-09,河池化工2003年半年度报告摘要,finalpage/2003-08-09/11239644.PDF
2003-09-16,河池化工：2003年第二次临时股东大会决议公告,finalpage/2003-09-16/12711184.html
2003-10-30,河池化工：董事会决议公告,finalpage/2003-10-30/13030614.html
2003-10-30,河池化工投资者关系管理制度,finalpage/2003-10-30/13030615.PDF
2003-10-30,河池化工2003年第三季度报告,finalpage/2003-10-30/13030616.PDF
2003-11-06,河池化工：股权转让的独立财务顾问报告,finalpage/2003-11-06/13045775.PDF
2003-11-06,河池化工：关于将所持国海证券4000万股股权转让的公告,finalpage/2003-11-06/13045774.PDF
2003-12-03,河池化工：董事会决议公告,finalpage/2003-12-03/13101160.html
2003-12-16,河池化工：关于转让国海证券2000万股股权进展的公告,finalpage/2003-12-16/13208910.html
2003-12-24,河池化工：股权转让的独立财务顾问报告,finalpage/2003-12-24/13281020.html
2003-12-24,河池化工：召开2004年第一次临时股东大会的通知,finalpage/2003-12-24/13280976.html
2003-12-24,河池化工：关于将所持国海证券4000万股股权转让的公告,finalpage/2003-12-24/13280974.html
2003-12-24,河池化工：关于转让国海证券2000万股股权进展的公告,finalpage/2003-12-24/13280951.html
2004-01-09,河池化工：享受企业增值税优惠政策公告,finalpage/2004-01-09/13421459.html
2004-01-14,河池化工：关于逾期贷款未偿还的公告,finalpage/2004-01-14/13477568.html
2004-01-31,河池化工：2004年第一次临时股东大会决议公告,finalpage/2004-01-31/13537622.html
2004-02-13,河池化工：董事会决议公告,finalpage/2004-02-13/13615612.html
2004-02-13,河池化工：关于中国证监会上海证管办巡检发现问题的整改报告,finalpage/2004-02-13/13615595.html
2004-03-27,河池化工：董事会决议公告,finalpage/2004-03-27/13833633.html
2004-03-27,河池化工2003年第三季度调整报告,finalpage/2004-03-27/13833640.PDF
2004-03-27,河池化工2002年年度调整报告,finalpage/2004-03-27/13833639.PDF
2004-03-27,河池化工：关于会计差错更正调整事项的提示性说明,finalpage/2004-03-27/13833636.PDF
2004-04-17,河池化工：公司出售热电厂生产的自发电交易的独立财务顾问报告,finalpage/2004-04-17/13924075.html
2004-04-17,河池化工：监事会决议公告,finalpage/2004-04-17/13926441.html
