,date,title,url
0,2000-03-23,黑化股份年报,/disclosure/listedinfo/announcement/c/600179_1999_0.pdf
1,2000-08-17,黑化股份半年报,/disclosure/listedinfo/announcement/c/600179_2000_1.pdf
2,2001-04-26,黑化股份年报,/disclosure/listedinfo/announcement/c/600179_2000_0.pdf
3,2001-06-15,黑化股份上市公司章程,/disclosure/listedinfo/announcement/c/600179_2001_g.pdf
4,2001-08-09,黑化股份半年报,/disclosure/listedinfo/announcement/c/600179_2001_1.pdf
5,2001-10-31,黑化股份第三季度季报,/disclosure/listedinfo/announcement/c/600179_2001_3.pdf
6,2001-11-24,黑化股份关联交易附录,/disclosure/listedinfo/announcement/c/600179_20011124_1.pdf
7,2001-11-29,黑化股份收购、出售资产附录,/disclosure/listedinfo/announcement/c/600179_20011129_1.pdf
8,2001-12-22,黑化股份关联交易附录,/disclosure/listedinfo/announcement/c/600179_20011222_1.pdf
9,2002-04-18,黑化股份年报,/disclosure/listedinfo/announcement/c/600179_2001_n.pdf
10,2002-04-24,黑化股份第一季度季报,/disclosure/listedinfo/announcement/c/600179_2002_1.pdf
11,2002-06-27,黑化股份股东大会会议资料,/disclosure/listedinfo/announcement/c/600179_20020627_1.pdf
12,2002-07-02,黑化股份股东大会决议公告,/disclosure/listedinfo/announcement/c/600179_20020702_1.pdf
13,2002-08-22,黑化股份半年报,/disclosure/listedinfo/announcement/c/2002-08-22/600179_2002_z.pdf
14,2002-09-10,黑化股份股东大会决议公告,/disclosure/listedinfo/announcement/c/2002-09-10/600179_20020910_1.pdf
15,2002-10-29,黑化股份第三季度季报,/disclosure/listedinfo/announcement/c/2002-10-29/600179_2002_3.pdf
16,2002-12-31,黑化股份股东大会决议公告,/disclosure/listedinfo/announcement/c/2002-12-31/600179_20021231_1.pdf
17,2003-04-05,黑化股份年报,/disclosure/listedinfo/announcement/c/2003-04-05/600179_2002_n.pdf
18,2003-04-30,黑化股份第一季度季报,/disclosure/listedinfo/announcement/c/2003-04-30/600179_2003_1.pdf
19,2003-06-27,黑化股份股东大会决议公告,/disclosure/listedinfo/announcement/c/2003-06-27/600179_20030627_1.pdf
20,2003-08-21,黑化股份半年报（修订版）,/disclosure/listedinfo/announcement/c/2003-08-21/600179_2003_z.pdf
21,2003-10-24,黑化股份第三季度季报,/disclosure/listedinfo/announcement/c/2003-10-24/600179_2003_3.pdf
22,2003-10-31,黑化股份股东大会决议公告,/disclosure/listedinfo/announcement/c/2003-10-31/600179_20031031_1.pdf
23,2004-01-15,黑化股份2004年第一次临时股东大会决议公告,/disclosure/listedinfo/announcement/c/2004-01-15/600179_20040115_1.pdf
24,2004-01-15,黑化股份2004年第一次临时股东大会法律意见书,/disclosure/listedinfo/announcement/c/2004-01-15/600179_20040115_2.pdf
25,2004-02-19,黑化股份股份拍卖提示性公告,/disclosure/listedinfo/announcement/c/2004-02-19/600179_20040219_1.pdf
26,2004-03-04,黑化股份公告,/disclosure/listedinfo/announcement/c/2004-03-04/600179_20040304_1.pdf
27,2004-03-27,黑化股份对外担保公告,/disclosure/listedinfo/announcement/c/2004-03-27/600179_20040327_1.pdf
28,2004-04-08,黑化股份年报,/disclosure/listedinfo/announcement/c/2004-04-08/600179_2003_n.pdf
29,2004-04-08,黑化股份监事会决议公告,/disclosure/listedinfo/announcement/c/2004-04-08/600179_20040408_2.pdf
30,2004-04-08,黑化股份董事会决议公告暨召开2003年度股东大会通知,/disclosure/listedinfo/announcement/c/2004-04-08/600179_20040408_1.pdf
31,2004-04-26,黑化股份第一季度季报,/disclosure/listedinfo/announcement/c/2004-04-26/600179_2004_1.pdf
32,2004-05-15,黑化股份2003年度股东大会决议公告,/disclosure/listedinfo/announcement/c/2004-05-15/600179_20040515_1.pdf
33,2004-05-15,黑化股份2003年度股东大会法律意见书,/disclosure/listedinfo/announcement/c/2004-05-15/600179_20040515_2.pdf
34,2004-05-22,黑化股份国有法人股继续冻结公告,/disclosure/listedinfo/announcement/c/2004-05-22/600179_20040522_1.pdf
35,2004-07-30,黑化股份董事会决议公告,/disclosure/listedinfo/announcement/c/2004-07-30/600179_20040730_1.pdf
36,2004-07-30,黑化股份半年报摘要,/disclosure/listedinfo/announcement/c/2004-07-30/600179_2004_zzy.pdf
37,2004-07-30,黑化股份半年报,/disclosure/listedinfo/announcement/c/2004-07-30/600179_2004_z.pdf
38,2004-10-28,黑化股份第三季度季报,/disclosure/listedinfo/announcement/c/2004-10-28/600179_2004_3.pdf
