,date,title,url
0,2018-02-09,嘉友国际股票交易异常波动公告,/disclosure/listedinfo/announcement/c/2018-02-09/603871_20180209_1.pdf
1,2018-02-09,嘉友国际：关于嘉友国际物流股份有限公司股票交易异常波动有关事项的问询函的回复,/disclosure/listedinfo/announcement/c/2018-02-09/603871_20180209_2.pdf
