,date,title,url
0,2017-06-21,吉华集团股票交易异常波动公告,/disclosure/listedinfo/announcement/c/2017-06-21/603980_20170621_1.pdf
1,2017-06-21,吉华集团：控股股东、实际控制人回函,/disclosure/listedinfo/announcement/c/2017-06-21/603980_20170621_2.pdf
2,2017-06-22,吉华集团首次公开发行股票上市公告书暨2017年第一季度财务会计报告（更正后）,/disclosure/listedinfo/announcement/c/2017-06-22/603980_20170622_2.pdf
3,2017-06-22,吉华集团首次公开发行A股股票上市公告书暨2017年第一季度财务会计报告更正公告,/disclosure/listedinfo/announcement/c/2017-06-22/603980_20170622_1.pdf
4,2017-06-23,吉华集团关于签订募集资金专户存储三方监管协议的公告,/disclosure/listedinfo/announcement/c/2017-06-23/603980_20170623_1.pdf
5,2017-07-13,吉华集团关于控股股东进行股份质押式回购交易的公告,/disclosure/listedinfo/announcement/c/2017-07-13/603980_20170713_1.pdf
6,2017-07-18,吉华集团关于召开2017年第一次临时股东大会的通知,/disclosure/listedinfo/announcement/c/2017-07-18/603980_20170718_10.pdf
7,2017-07-18,吉华集团关于修订《公司章程》并办理工商登记的公告,/disclosure/listedinfo/announcement/c/2017-07-18/603980_20170718_3.pdf
8,2017-07-18,吉华集团关于公司使用自有资金进行投资理财的公告,/disclosure/listedinfo/announcement/c/2017-07-18/603980_20170718_8.pdf
9,2017-07-18,吉华集团关于公司使用部分闲置募集资金购买理财产品的公告,/disclosure/listedinfo/announcement/c/2017-07-18/603980_20170718_5.pdf
10,2017-07-18,吉华集团关于2017年度申请银行综合授信额度的公告,/disclosure/listedinfo/announcement/c/2017-07-18/603980_20170718_9.pdf
11,2017-07-18,吉华集团公司章程,/disclosure/listedinfo/announcement/c/2017-07-18/603980_20170718_4.pdf
12,2017-07-18,吉华集团独立董事关于公司使用部分闲置募集资金购买理财产品的独立意见,/disclosure/listedinfo/announcement/c/2017-07-18/603980_20170718_7.pdf
13,2017-07-18,吉华集团第二届监事会第八次会议决议公告,/disclosure/listedinfo/announcement/c/2017-07-18/603980_20170718_2.pdf
14,2017-07-18,吉华集团第二届董事会第十二次会议决议公告,/disclosure/listedinfo/announcement/c/2017-07-18/603980_20170718_1.pdf
15,2017-07-18,吉华集团：安信证券股份有限公司关于浙江吉华集团股份有限公司使用部分闲置募集资金购买理财产品的核查意见,/disclosure/listedinfo/announcement/c/2017-07-18/603980_20170718_6.pdf
16,2017-07-18,吉华集团2017年第一次临时股东大会会议资料,/disclosure/listedinfo/announcement/c/2017-07-18/603980_20170718_11.pdf
17,2017-07-28,吉华集团关于召开2017年第一次临时股东大会的提示性公告,/disclosure/listedinfo/announcement/c/2017-07-28/603980_20170728_1.pdf
18,2017-08-04,吉华集团2017年第一次临时股东大会决议公告,/disclosure/listedinfo/announcement/c/2017-08-04/603980_20170804_1.pdf
19,2017-08-04,吉华集团2017年第一次临时股东大会法律意见书,/disclosure/listedinfo/announcement/c/2017-08-04/603980_20170804_2.pdf
20,2017-08-11,吉华集团关于控股股东进行股份质押交易的公告,/disclosure/listedinfo/announcement/c/2017-08-11/603980_20170811_1.pdf
21,2017-08-15,吉华集团关于使用闲置自有资金购买理财产品的进展公告,/disclosure/listedinfo/announcement/c/2017-08-15/603980_20170815_1.pdf
22,2017-08-15,吉华集团关于使用部分闲置募集资金购买理财产品的进展公告,/disclosure/listedinfo/announcement/c/2017-08-15/603980_20170815_2.pdf
23,2017-08-18,吉华集团关于完成工商变更登记的公告,/disclosure/listedinfo/announcement/c/2017-08-18/603980_20170818_1.pdf
