date,title,url
2001-07-20,茂名永业（集团）股份有限公司2001年中期报告,finalpage/2001-07-20/514558.html
2001-11-13,茂化永业：董事会决议公告,finalpage/2001-11-13/517730.html
2001-11-21,茂化永业：子公司产品被认定为国家重点新产品,finalpage/2001-11-21/520286.html
2002-01-31,茂化永业：关于巡回检查的整改报告等,finalpage/2002-01-31/540463.PDF
2002-02-07,茂化永业：股权转让的提示性公告,finalpage/2002-02-07/542699.html
2002-04-09,茂化永业：2001年年度利润分配预案等,finalpage/2002-04-09/566278.PDF
2002-04-09,茂化永业2001年年度报告摘要,finalpage/2002-04-09/566662.html
2002-04-09,茂化永业2001年年度报告,finalpage/2002-04-09/566295.PDF
2002-04-26,茂化永业：召开2001年度股东大会的议案等,finalpage/2002-04-26/580066.html
2002-04-26,茂化永业2002年第一季度报告,finalpage/2002-04-26/580064.PDF
2002-04-26,茂化永业股东大会议事规则,finalpage/2002-04-26/580150.PDF
2002-05-24,茂化永业2001年年度报告补充公告,finalpage/2002-05-24/601750.PDF
2002-05-30,茂化永业：2001年度利润分配方案等,finalpage/2002-05-30/604375.html
2002-06-11,茂化永业：2001年度利润分配实施公告,finalpage/2002-06-11/606851.html
2002-08-15,茂化永业：公布2002年中期财务指标等,finalpage/2002-08-15/633237.html
2002-08-15,茂化永业：2002年中期报告摘要,finalpage/2002-08-15/634337.html
2002-08-15,茂化永业2002年中期报告,finalpage/2002-08-15/633240.PDF
2002-10-26,茂化永业2002年第三季度报告,finalpage/2002-10-26/10040985.PDF
2002-10-26,茂化永业：2002年第三季度报告摘要,finalpage/2002-10-26/10068593.html
2003-01-08,茂化永业：聘任副总,finalpage/2003-01-08/10099587.html
2003-01-21,茂化永业：国有股转让的提示公告,finalpage/2003-01-21/10110516.html
2003-01-21,茂化永业：业绩预亏风险提示,finalpage/2003-01-21/10110524.html
2003-01-21,茂化永业：收购报告书摘要,finalpage/2003-01-21/10110535.PDF
2003-01-21,茂化永业：股东持股变动报告书,finalpage/2003-01-21/10110527.PDF
2003-02-10,茂化永业：董事会三届十八次会议决议公告,finalpage/2003-02-10/10128749.html
2003-02-10,茂化永业：收购报告书,finalpage/2003-02-10/10128748.PDF
2003-03-26,茂化永业：广州海印实业集团有限公司关于公司收购报告书,finalpage/2003-03-26/10338668.PDF
2003-04-24,茂化永业：2002年度财务报告之审计报告,finalpage/2003-04-24/10621536.PDF
2003-04-24,茂化永业：监事会三届九次会议决议公告,finalpage/2003-04-24/10622474.html
2003-04-24,茂化永业：董事会三届十九次会议决议公告,finalpage/2003-04-24/10622364.html
2003-04-24,茂化永业2003年第一季度报告,finalpage/2003-04-24/10623106.PDF
2003-04-24,茂化永业2002年年度报告,finalpage/2003-04-24/10621439.PDF
2003-04-24,茂化永业2002年年度报告摘要,finalpage/2003-04-24/10621522.PDF
2003-05-30,茂化永业：第三届董事会第二十次会议决议公告,finalpage/2003-05-30/10718700.PDF
2003-07-01,茂化永业：2002年度股东大会决议公告,finalpage/2003-07-01/10748872.PDF
2003-07-25,茂化永业：关于国有股股权托管的公告,finalpage/2003-07-25/10804721.html
2003-07-25,茂化永业：半年度业绩预亏风险提示公告,finalpage/2003-07-25/10804717.html
2003-07-31,茂化永业：召开2003年第一次临时股东大会会议通知,finalpage/2003-07-31/10869494.html
2003-07-31,茂化永业：第三届监事会第十次会议决议公告,finalpage/2003-07-31/10869457.html
2003-07-31,茂化永业：第三届董事会第二十一次会议决议公告,finalpage/2003-07-31/10869455.html
2003-08-21,茂化永业：第三届董事会第二十二次会议决议公告,finalpage/2003-08-21/12160922.html
2003-08-21,茂化永业：2003年半年度财务报告,finalpage/2003-08-21/12168987.PDF
2003-08-21,茂化永业：第三届监事会第十一次会议决议公告,finalpage/2003-08-21/12161404.html
2003-08-21,茂化永业2003年半年度报告,finalpage/2003-08-21/12159841.PDF
2003-08-21,茂化永业2003年半年度报告摘要,finalpage/2003-08-21/12161642.PDF
2003-09-02,茂化永业：第四届监事会第一次会议决议公告,finalpage/2003-09-02/12491574.html
2003-09-02,茂化永业：2003年第一次临时股东大会决议公告,finalpage/2003-09-02/12491561.html
2003-09-02,茂化永业：关于变更董事会秘书及证券事务代表联系方式的公告,finalpage/2003-09-02/12491584.PDF
2003-09-02,茂化永业：第四届董事会第一次会议公告,finalpage/2003-09-02/12491571.html
2003-09-11,茂化永业：第四届董事会第二次会议决议公告,finalpage/2003-09-11/12606851.html
