,date,title,url
0,2000-03-25,辽宁成大年报,/disclosure/listedinfo/announcement/c/600739_1999_0.pdf
1,2000-03-31,辽宁成大年报补充公告,/disclosure/listedinfo/announcement/c/600739_1999_2.pdf
2,2000-08-10,辽宁成大半年报,/disclosure/listedinfo/announcement/c/600739_2000_1.pdf
3,2001-02-23,辽宁成大年报,/disclosure/listedinfo/announcement/c/600739_2000_0.pdf
4,2001-05-16,辽宁成大上市公司章程,/disclosure/listedinfo/announcement/c/600739_2001_g.pdf
5,2001-08-07,辽宁成大半年报,/disclosure/listedinfo/announcement/c/600739_2001_1.pdf
6,2002-03-14,辽宁成大年报,/disclosure/listedinfo/announcement/c/600739_2001_n.pdf
7,2002-03-14,辽宁成大监事会议事规则,/disclosure/listedinfo/announcement/c/600739_20020314_5.pdf
8,2002-03-14,辽宁成大股东大会议事规则,/disclosure/listedinfo/announcement/c/600739_20020314_1.pdf
9,2002-03-14,辽宁成大独立董事工作制度,/disclosure/listedinfo/announcement/c/600739_20020314_3.pdf
10,2002-03-14,辽宁成大董事会议事规则,/disclosure/listedinfo/announcement/c/600739_20020314_2.pdf
11,2002-03-14,辽宁成大董事会投资审查与决策程序的规定,/disclosure/listedinfo/announcement/c/600739_20020314_4.pdf
12,2002-04-18,辽宁成大配股预案备查,/disclosure/listedinfo/announcement/c/600739_20020418_1.pdf
13,2002-04-27,辽宁成大第一季度季报,/disclosure/listedinfo/announcement/c/600739_2002_1.pdf
14,2002-07-02,辽宁成大股东大会会议资料,/disclosure/listedinfo/announcement/c/600739_20020702_1.pdf
15,2002-08-21,辽宁成大半年报,/disclosure/listedinfo/announcement/c/2002-08-21/600739_2002_z.pdf
16,2002-08-29,辽宁成大半年报补充公告,/disclosure/listedinfo/announcement/c/2002-08-29/600739_20020829_1.pdf
17,2002-10-26,辽宁成大募集资金管理办法,/disclosure/listedinfo/announcement/c/2002-10-26/600739_20021026_1.pdf
18,2002-10-26,辽宁成大董事会战略委员会实施细则,/disclosure/listedinfo/announcement/c/2002-10-26/600739_20021026_2.pdf
19,2002-10-26,辽宁成大董事会薪酬与考核委员会实施细则,/disclosure/listedinfo/announcement/c/2002-10-26/600739_20021026_3.pdf
20,2002-10-26,辽宁成大董事会提名委员会工作细则,/disclosure/listedinfo/announcement/c/2002-10-26/600739_20021026_4.pdf
21,2002-10-26,辽宁成大董事会审计委员会实施细则,/disclosure/listedinfo/announcement/c/2002-10-26/600739_20021026_5.pdf
22,2002-10-26,辽宁成大第三季度季报,/disclosure/listedinfo/announcement/c/2002-10-26/600739_2002_3.pdf
23,2003-02-26,辽宁成大年报（修订版）,/disclosure/listedinfo/announcement/c/2003-02-26/600739_2002_n.pdf
24,2003-04-09,辽宁成大股东大会决议公告,/disclosure/listedinfo/announcement/c/2003-04-09/600739_20030409_1.pdf
25,2003-04-25,辽宁成大第一季度季报,/disclosure/listedinfo/announcement/c/2003-04-25/600739_2003_1.pdf
26,2003-05-22,辽宁成大年报补充公告,/disclosure/listedinfo/announcement/c/2003-05-22/600739_20030522_1.pdf
27,2003-07-31,辽宁成大股东大会决议公告,/disclosure/listedinfo/announcement/c/2003-07-31/600739_20030731_1.pdf
28,2003-08-28,辽宁成大半年报,/disclosure/listedinfo/announcement/c/2003-08-28/600739_2003_z.pdf
29,2003-10-18,辽宁成大配股说明书,/disclosure/listedinfo/announcement/c/2003-10-18/600739_20031018_1.pdf
30,2003-10-29,辽宁成大第三季度季报,/disclosure/listedinfo/announcement/c/2003-10-29/600739_2003_3.pdf
31,2004-02-21,辽宁成大董事会决议公告,/disclosure/listedinfo/announcement/c/2004-02-21/600739_20040221_1.pdf
32,2004-04-16,辽宁成大年报,/disclosure/listedinfo/announcement/c/2004-04-16/600739_2003_n.pdf
33,2004-04-16,辽宁成大监事会决议公告,/disclosure/listedinfo/announcement/c/2004-04-16/600739_20040416_2.pdf
34,2004-04-16,辽宁成大董事会决议公告暨召开2003年度股东大会通知,/disclosure/listedinfo/announcement/c/2004-04-16/600739_20040416_1.pdf
35,2004-04-21,辽宁成大2004年第一季度业绩预增提示公告,/disclosure/listedinfo/announcement/c/2004-04-21/600739_20040421_1.pdf
36,2004-04-28,辽宁成大第一季度季报,/disclosure/listedinfo/announcement/c/2004-04-28/600739_2004_1.pdf
37,2004-05-13,辽宁成大第一次回访报告,/disclosure/listedinfo/announcement/c/2004-05-13/600739_20040513_1.pdf
38,2004-05-21,辽宁成大监事会决议公告,/disclosure/listedinfo/announcement/c/2004-05-21/600739_20040521_2.pdf
39,2004-05-21,辽宁成大2003年度股东大会决议公告,/disclosure/listedinfo/announcement/c/2004-05-21/600739_20040521_1.pdf
40,2004-05-21,辽宁成大2003年度股东大会法律意见书,/disclosure/listedinfo/announcement/c/2004-05-21/600739_20040521_3.pdf
41,2004-06-16,辽宁成大收购股权公告,/disclosure/listedinfo/announcement/c/2004-06-16/600739_20040616_3.pdf
42,2004-06-16,辽宁成大监事会决议公告,/disclosure/listedinfo/announcement/c/2004-06-16/600739_20040616_2.pdf
43,2004-06-16,辽宁成大董事会决议公告,/disclosure/listedinfo/announcement/c/2004-06-16/600739_20040616_1.pdf
44,2004-07-07,辽宁成大2003年度利润分配及资本公积金转增股本实施公告,/disclosure/listedinfo/announcement/c/2004-07-07/600739_20040707_1.pdf
45,2004-08-26,辽宁成大半年报摘要,/disclosure/listedinfo/announcement/c/2004-08-26/600739_2004_zzy.pdf
46,2004-08-26,辽宁成大半年报,/disclosure/listedinfo/announcement/c/2004-08-26/600739_2004_z.pdf
47,2004-09-28,辽宁成大收购“美达公司”持有的“广发证券”股权公告,/disclosure/listedinfo/announcement/c/2004-09-28/600739_20040928_2.pdf
48,2004-09-28,辽宁成大董事会决议公告,/disclosure/listedinfo/announcement/c/2004-09-28/600739_20040928_1.pdf
49,2004-10-29,辽宁成大第三季度季报,/disclosure/listedinfo/announcement/c/2004-10-29/600739_2004_3.pdf
50,2004-11-09,辽宁成大上市公司章程,/disclosure/listedinfo/announcement/c/2004-11-09/600739_20041109_g.pdf
51,2004-12-23,辽宁成大子公司管理办法,/disclosure/listedinfo/announcement/c/2004-12-23/600739_20041223_6.pdf
52,2004-12-23,辽宁成大关于法人股权转让的提示性公告,/disclosure/listedinfo/announcement/c/2004-12-23/600739_20041223_3.pdf
53,2004-12-23,辽宁成大关联交易公告,/disclosure/listedinfo/announcement/c/2004-12-23/600739_20041223_2.pdf
54,2004-12-23,辽宁成大股东增持持股变动报告书,/disclosure/listedinfo/announcement/c/2004-12-23/600739_20041223_5.pdf
55,2004-12-23,辽宁成大股东减持持股变动报告书,/disclosure/listedinfo/announcement/c/2004-12-23/600739_20041223_4.pdf
56,2004-12-23,辽宁成大董事会决议公告,/disclosure/listedinfo/announcement/c/2004-12-23/600739_20041223_1.pdf
57,2005-02-01,辽宁成大2004年度业绩预增公告,/disclosure/listedinfo/announcement/c/2005-02-01/600739_20050201_1.pdf
58,2005-02-26,辽宁成大关于收购广发证券股份有限公司部分股权进展情况的公告,/disclosure/listedinfo/announcement/c/2005-02-26/600739_20050226_1.pdf
59,2005-04-15,辽宁成大年报摘要,/disclosure/listedinfo/announcement/c/2005-04-15/600739_2004_nzy.pdf
60,2005-04-15,辽宁成大年报,/disclosure/listedinfo/announcement/c/2005-04-15/600739_2004_n.pdf
61,2005-04-15,辽宁成大监事会议事规则（草案）,/disclosure/listedinfo/announcement/c/2005-04-15/600739_20050415_5.pdf
62,2005-04-15,辽宁成大监事会决议公告,/disclosure/listedinfo/announcement/c/2005-04-15/600739_20050415_3.pdf
63,2005-04-15,辽宁成大董事会议事规则（草案）,/disclosure/listedinfo/announcement/c/2005-04-15/600739_20050415_4.pdf
64,2005-04-15,辽宁成大董事会决议公告暨召开2004年度股东大会的通知,/disclosure/listedinfo/announcement/c/2005-04-15/600739_20050415_1.pdf
65,2005-04-15,辽宁成大变更部分募集资金投资项目公告,/disclosure/listedinfo/announcement/c/2005-04-15/600739_20050415_2.pdf
66,2005-04-29,辽宁成大第一季度季报,/disclosure/listedinfo/announcement/c/2005-04-29/600739_2005_1.pdf
67,2005-05-14,辽宁成大2004年度股东大会会议资料,/disclosure/listedinfo/announcement/c/2005-05-14/600739_20050514_1.pdf
68,2005-05-21,辽宁成大上市公司章程,/disclosure/listedinfo/announcement/c/2005-05-21/600739_20050521_g.pdf
69,2005-05-21,辽宁成大2004年度股东大会决议公告,/disclosure/listedinfo/announcement/c/2005-05-21/600739_20050521_1.pdf
70,2005-05-21,辽宁成大2004年度股东大会法律意见书,/disclosure/listedinfo/announcement/c/2005-05-21/600739_20050521_2.pdf
